,Country,Sex,Age,Marital status
23303,Costa Rica,Women,58,Married
23304,Ireland,Men,46,Married
23305,Netherlands,Women,96,Married
23306,Mayotte,Men,56,Married
23307,Mozambique,Men,20,Single
23308,Suriname,Women,46,Single
23309,Greenland,Men,64,Married
23310,Romania,Men,35,Married
23311,Kuwait,Women,56,Single
23312,Netherlands,Men,94,Married
23313,Hungary,Men,34,Married
23314,Faeroe Islands,Men,51,Married
23315,Poland,Men,71,Married
23316,Brazil,Women,96,Single
23317,Japan,Women,31,Married
23318,United Arab Emirates,Women,84,Single
23319,Azerbaijan,Men,82,Married
23320,Botswana,Men,78,Single
23321,New Zealand,Men,57,Married
23322,Aruba,Men,37,Single
23323,Jamaica,Men,26,Married
23324,Antigua and Barbuda,Women,25,Single
23325,Panama,Men,41,Married
23326,Algeria,Men,82,Married
23327,Saudi Arabia,Men,74,Married
23328,Montenegro,Women,24,Married
23329,Germany,Men,17,Single
23330,Luxembourg,Men,88,Divorced
23331,Cuba,Women,45,Married
23332,Liberia,Men,32,Single
23333,State of Palestine,Women,81,Single
23334,Peru,Men,68,Single
23335,Swaziland,Men,66,Married
23336,Kuwait,Men,92,Married
23337,Antigua and Barbuda,Women,26,Single
23338,United Arab Emirates,Men,40,Single
23339,Jamaica,Men,19,Single
23340,China,Men,43,Married
23341,France,Women,19,Single
23342,Lao People's Democratic Republic,Women,51,Married
23343,French Polynesia,Women,77,Married
23344,State of Palestine,Men,23,Single
23345,Belarus,Men,72,Married
23346,Italy,Men,51,Married
23347,Mexico,Men,78,Married
23348,Kuwait,Men,28,Married
23349,Sudan,Women,84,Married
23350,Saint Vincent and the Grenadines,Women,91,Married
23351,New Zealand,Men,91,Married
23352,Belarus,Women,26,Married
23353,Algeria,Men,37,Single
23354,El Salvador,Men,23,Single
23355,Swaziland,Men,60,Married
23356,China,Women,80,Single
23357,Greenland,Men,69,Married
23358,Kuwait,Women,67,Single
23359,"China, Hong Kong SAR",Women,32,Married
23360,Oman,Women,84,Single
23361,Denmark,Women,57,Married
23362,Sudan,Men,60,Married
23363,Greece,Men,17,Single
23364,Argentina,Women,45,Divorced
23365,Belarus,Men,40,Married
23366,Tonga,Men,55,Married
23367,Japan,Men,78,Married
23368,Lithuania,Men,29,Single
23369,Kuwait,Men,65,Married
23370,Czech Republic,Men,77,Married
23371,San Marino,Women,76,Married
23372,Bulgaria,Women,38,Married
23373,Slovenia,Men,67,Married
23374,Botswana,Women,87,Single
23375,Lesotho,Men,71,Married
23376,Canada,Women,25,Single
23377,Suriname,Men,90,Married
23378,Netherlands Antilles,Men,25,Married
23379,Czech Republic,Women,53,Married
23380,Costa Rica,Women,59,Single
23381,Slovakia,Men,81,Married
23382,Finland,Men,48,Single
23383,Liechtenstein,Men,59,Single
23384,Republic of Korea,Women,45,Married
23385,Aruba,Men,64,Married
23386,Czech Republic,Men,15,Single
23387,Greece,Women,40,Single
23388,Belarus,Men,17,Single
23389,New Zealand,Women,85,Married
23390,Cyprus,Women,17,Single
23391,Brunei Darussalam,Women,75,Married
23392,Belarus,Men,47,Married
23393,Romania,Women,35,Married
23394,Aruba,Women,66,Single
23395,Uruguay,Women,37,Married
23396,Austria,Women,21,Single
23397,Mozambique,Men,46,Single
23398,Bahrain,Women,56,Married
23399,Palau,Men,36,Married
23400,Netherlands,Men,76,Married
23401,Austria,Women,63,Divorced
23402,El Salvador,Women,46,Single
23403,Japan,Men,39,Married
23404,Venezuela (Bolivarian Republic of),Men,68,Single
23405,Aruba,Men,87,Married
23406,Panama,Women,61,Single
23407,Slovenia,Women,21,Single
23408,Greece,Men,86,Married
23409,El Salvador,Women,92,Single
23410,New Zealand,Men,57,Single
23411,Belarus,Men,58,Married
23412,Belgium,Women,45,Married
23413,Cuba,Men,59,Single
23414,New Caledonia,Men,30,Married
23415,Albania,Men,32,Single
23416,Malaysia,Women,51,Married
23417,Botswana,Women,74,Single
23418,Canada,Men,38,Married
23419,San Marino,Men,68,Married
23420,Croatia,Women,61,Married
23421,Norway,Men,42,Single
23422,Turks and Caicos Islands,Men,37,Married
23423,Azerbaijan,Men,83,Married
23424,Greenland,Women,89,Single
23425,Luxembourg,Women,85,Single
23426,Trinidad and Tobago,Men,60,Married
23427,Greenland,Women,58,Divorced
23428,Kyrgyzstan,Women,94,Married
23429,Iran (Islamic Republic of),Women,45,Married
23430,Russian Federation,Men,83,Married
23431,New Zealand,Men,47,Married
23432,Turks and Caicos Islands,Women,86,Single
23433,Oman,Men,94,Married
23434,Saudi Arabia,Women,95,Single
23435,Faeroe Islands,Women,98,Married
23436,State of Palestine,Women,74,Single
23437,Belarus,Women,53,Single
23438,Democratic People's Republic of  of Korea,Women,20,Single
23439,Brazil,Women,84,Single
23440,Estonia,Women,82,Married
23441,Libya,Women,81,Divorced
23442,French Guiana,Men,85,Single
23443,Democratic People's Republic of  of Korea,Men,55,Married
23444,Finland,Women,59,Married
23445,State of Palestine,Men,64,Married
23446,Greece,Women,17,Single
23447,United Kingdom,Women,65,Single
23448,Czech Republic,Men,60,Single
23449,Uruguay,Women,37,Single
23450,Costa Rica,Men,20,Single
23451,Japan,Men,67,Married
23452,Sweden,Men,46,Single
23453,Belgium,Men,39,Divorced
23454,Yemen,Women,38,Married
23455,Belize,Men,30,Single
23456,Aruba,Women,68,Single
23457,Jamaica,Men,63,Single
23458,Japan,Men,79,Married
23459,United Arab Emirates,Men,29,Single
23460,Croatia,Men,87,Married
23461,Gibraltar,Women,49,Single
23462,Liechtenstein,Women,21,Single
23463,Poland,Women,86,Single
23464,Mayotte,Women,20,Single
23465,Kuwait,Women,54,Married
23466,Lesotho,Men,17,Single
23467,Germany,Men,47,Married
23468,United Kingdom,Men,81,Married
23469,Algeria,Women,24,Single
23470,Chile,Women,71,Married
23471,Netherlands Antilles,Women,36,Single
23472,Denmark,Men,50,Single
23473,Italy,Men,33,Single
23474,Singapore,Women,65,Married
23475,China,Men,50,Married
23476,Saint Lucia,Men,54,Single
23477,Montenegro,Women,24,Single
23478,Finland,Men,40,Single
23479,Suriname,Women,72,Single
23480,United Kingdom,Men,77,Married
23481,Tonga,Men,72,Single
23482,Tonga,Men,56,Married
23483,Turks and Caicos Islands,Women,15,Single
23484,Tonga,Men,67,Married
23485,Russian Federation,Women,89,Single
23486,Russian Federation,Women,66,Single
23487,Mayotte,Women,80,Married
23488,Germany,Women,29,Single
23489,Republic of Korea,Men,88,Married
23490,China,Men,47,Married
23491,Netherlands,Men,88,Single
23492,Dominica,Women,94,Single
23493,Uruguay,Women,95,Single
23494,Turks and Caicos Islands,Men,36,Married
23495,Venezuela (Bolivarian Republic of),Women,54,Single
23496,Liechtenstein,Men,24,Single
23497,Belize,Women,97,Single
23498,State of Palestine,Men,18,Single
23499,Cuba,Men,85,Married
23500,Croatia,Women,80,Single
23501,Estonia,Men,74,Single
23502,Antigua and Barbuda,Men,37,Married
23503,Cyprus,Men,60,Married
23504,Slovakia,Women,26,Single
23505,Tonga,Men,53,Married
23506,Cuba,Men,44,Married
23507,Sweden,Women,29,Single
23508,New Zealand,Women,39,Married
23509,Djibouti,Men,83,Married
23510,Venezuela (Bolivarian Republic of),Men,28,Single
23511,"China, Hong Kong SAR",Men,88,Married
23512,Jamaica,Women,63,Married
23513,Lesotho,Women,95,Married
23514,Costa Rica,Men,68,Married
23515,Algeria,Women,72,Married
23516,Republic of Korea,Women,79,Single
23517,Czech Republic,Women,68,Married
23518,Mayotte,Women,34,Married
23519,China,Women,49,Married
23520,Botswana,Women,37,Single
23521,Slovakia,Men,46,Married
23522,United Arab Emirates,Women,34,Married
23523,Brazil,Women,20,Single
23524,Costa Rica,Men,24,Single
23525,Venezuela (Bolivarian Republic of),Men,95,Single
23526,San Marino,Men,57,Married
23527,Austria,Women,89,Single
23528,Australia,Men,68,Married
23529,Iran (Islamic Republic of),Women,79,Married
23530,Iran (Islamic Republic of),Men,40,Married
23531,Mayotte,Women,67,Single
23532,Liechtenstein,Men,43,Married
23533,Romania,Women,37,Married
23534,Mozambique,Women,48,Single
23535,Costa Rica,Women,39,Married
23536,Denmark,Women,65,Married
23537,Israel,Men,25,Single
23538,Cuba,Women,20,Single
23539,Denmark,Women,70,Married
23540,Denmark,Women,17,Single
23541,Dominica,Women,51,Married
23542,El Salvador,Men,46,Married
23543,Trinidad and Tobago,Women,68,Married
23544,Slovakia,Women,42,Married
23545,Cuba,Men,82,Married
23546,Mozambique,Men,27,Single
23547,Slovakia,Women,25,Divorced
23548,Cyprus,Women,81,Single
23549,France,Men,69,Married
23550,Saint Vincent and the Grenadines,Men,70,Married
23551,Lebanon,Women,85,Married
23552,"China, Hong Kong SAR",Women,52,Married
23553,Saint Vincent and the Grenadines,Women,28,Single
23554,Mongolia,Women,21,Single
23555,Tonga,Men,90,Married
23556,Argentina,Women,37,Married
23557,Syrian Arab Republic,Women,24,Single
23558,Spain,Men,47,Single
23559,Aruba,Men,58,Married
23560,Mongolia,Men,93,Married
23561,Croatia,Women,78,Single
23562,Slovenia,Women,33,Single
23563,Palau,Men,70,Married
23564,Liberia,Women,65,Single
23565,Oman,Women,70,Single
23566,Mexico,Women,32,Single
23567,Faeroe Islands,Men,65,Divorced
23568,Sudan,Men,59,Married
23569,New Zealand,Men,47,Single
23570,Switzerland,Women,70,Single
23571,United Arab Emirates,Women,60,Married
23572,Finland,Men,84,Married
23573,Djibouti,Men,72,Married
23574,Greece,Women,94,Married
23575,Algeria,Men,76,Married
23576,Faeroe Islands,Women,40,Single
23577,El Salvador,Men,89,Single
23578,Venezuela (Bolivarian Republic of),Women,96,Married
23579,Bermuda,Men,62,Married
23580,"China, Hong Kong SAR",Women,27,Married
23581,Mayotte,Women,68,Single
23582,Albania,Men,70,Single
23583,Ecuador,Women,38,Married
23584,Tajikistan,Men,81,Married
23585,El Salvador,Men,72,Single
23586,Suriname,Women,70,Single
23587,Germany,Women,53,Married
23588,Costa Rica,Men,15,Single
23589,Costa Rica,Women,85,Single
23590,Kyrgyzstan,Men,95,Single
23591,Suriname,Men,17,Single
23592,Republic of Korea,Women,57,Single
23593,Kuwait,Women,95,Single
23594,Switzerland,Men,66,Single
23595,Italy,Men,54,Single
23596,Suriname,Women,64,Single
23597,Yemen,Men,43,Married
23598,Faeroe Islands,Men,72,Married
23599,Belize,Men,32,Single
23600,Russian Federation,Women,84,Single
23601,Luxembourg,Men,42,Married
23602,Costa Rica,Men,82,Married
23603,State of Palestine,Men,74,Married
23604,Netherlands,Men,22,Single
23605,Dominica,Women,36,Married
23606,Uruguay,Men,67,Married
23607,Suriname,Women,78,Single
23608,Palau,Men,75,Married
23609,Canada,Women,22,Single
23610,Croatia,Women,51,Married
23611,Latvia,Men,28,Married
23612,Romania,Men,16,Single
23613,Slovakia,Women,40,Married
23614,Japan,Men,84,Married
23615,Yemen,Women,26,Married
23616,Kuwait,Men,21,Single
23617,Botswana,Men,94,Single
23618,Palau,Men,97,Married
23619,Russian Federation,Women,30,Married
23620,Lithuania,Women,79,Married
23621,Dominica,Women,49,Married
23622,Latvia,Women,33,Single
23623,Italy,Men,43,Married
23624,Denmark,Men,97,Married
23625,Montenegro,Men,56,Single
23626,Japan,Women,75,Single
23627,Antigua and Barbuda,Men,40,Single
23628,United Arab Emirates,Men,86,Married
23629,Republic of Korea,Women,18,Single
23630,Lao People's Democratic Republic,Men,78,Single
23631,Saudi Arabia,Men,15,Single
23632,Belgium,Men,85,Married
23633,Cayman Islands,Men,63,Single
23634,Estonia,Women,24,Single
23635,Slovakia,Men,78,Married
23636,Italy,Women,72,Married
23637,Libya,Men,46,Married
23638,United Kingdom,Women,21,Single
23639,Morocco,Men,49,Married
23640,Morocco,Women,69,Divorced
23641,Yemen,Women,73,Single
23642,Aruba,Women,56,Divorced
23643,Kyrgyzstan,Men,51,Married
23644,Belgium,Men,65,Single
23645,Australia,Women,54,Married
23646,Latvia,Women,58,Married
23647,Djibouti,Men,69,Married
23648,Liechtenstein,Women,36,Married
23649,Montenegro,Men,80,Married
23650,Philippines,Men,40,Married
23651,Latvia,Women,66,Married
23652,Belarus,Women,54,Divorced
23653,Thailand,Men,39,Married
23654,Costa Rica,Women,91,Single
23655,Canada,Women,58,Married
23656,Belgium,Men,60,Married
23657,Mongolia,Women,82,Single
23658,Belgium,Women,80,Single
23659,Mexico,Women,67,Married
23660,Australia,Men,28,Single
23661,Poland,Women,56,Married
23662,Estonia,Women,81,Married
23663,Brunei Darussalam,Women,32,Married
23664,Kuwait,Women,54,Married
23665,Romania,Women,29,Married
23666,Romania,Women,29,Married
23667,Mongolia,Men,35,Married
23668,Réunion,Men,77,Married
23669,Indonesia,Women,19,Single
23670,Algeria,Women,24,Married
23671,Mongolia,Men,40,Single
23672,Botswana,Men,91,Single
23673,Belarus,Men,42,Married
23674,Kyrgyzstan,Women,65,Single
23675,China,Men,53,Married
23676,"China, Hong Kong SAR",Men,19,Single
23677,France,Women,99,Married
23678,Poland,Men,49,Married
23679,Botswana,Men,66,Married
23680,Czech Republic,Men,25,Single
23681,Trinidad and Tobago,Women,58,Single
23682,Latvia,Men,19,Single
23683,Greece,Women,66,Single
23684,Estonia,Men,81,Married
23685,Democratic People's Republic of  of Korea,Women,47,Married
23686,San Marino,Women,46,Single
23687,Turks and Caicos Islands,Men,39,Married
23688,Liberia,Men,56,Married
23689,Croatia,Men,26,Single
23690,Bulgaria,Women,68,Single
23691,Algeria,Men,49,Married
23692,Greece,Men,85,Divorced
23693,Antigua and Barbuda,Women,25,Single
23694,Switzerland,Women,35,Divorced
23695,France,Women,19,Single
23696,Venezuela (Bolivarian Republic of),Men,31,Divorced
23697,El Salvador,Women,41,Single
23698,Spain,Women,17,Single
23699,Japan,Women,94,Married
23700,Hungary,Women,86,Single
23701,Russian Federation,Men,20,Single
23702,Ireland,Men,25,Single
23703,Cyprus,Men,35,Married
23704,Sudan,Men,96,Married
23705,Sudan,Women,27,Married
23706,Aruba,Women,24,Single
23707,Cayman Islands,Women,30,Single
23708,Norway,Men,28,Single
23709,Spain,Women,41,Married
23710,Libya,Men,30,Married
23711,Costa Rica,Women,64,Single
23712,Sweden,Men,21,Single
23713,Albania,Women,49,Married
23714,Cyprus,Men,97,Married
23715,Philippines,Men,61,Married
23716,Mozambique,Women,69,Single
23717,Cyprus,Men,71,Single
23718,Ecuador,Men,20,Single
23719,Belgium,Women,75,Married
23720,Albania,Women,27,Married
23721,Slovenia,Women,16,Single
23722,Slovakia,Women,95,Single
23723,Poland,Women,47,Married
23724,Montenegro,Women,84,Single
23725,New Caledonia,Men,39,Married
23726,United Arab Emirates,Men,55,Married
23727,San Marino,Men,80,Single
23728,French Guiana,Women,23,Single
23729,Iran (Islamic Republic of),Men,24,Single
23730,Italy,Men,46,Married
23731,Slovakia,Men,48,Married
23732,Croatia,Women,58,Married
23733,Kyrgyzstan,Men,87,Married
23734,Mayotte,Women,89,Divorced
23735,Switzerland,Men,21,Single
23736,Denmark,Women,72,Single
23737,Cayman Islands,Women,73,Divorced
23738,Lesotho,Women,44,Married
23739,Democratic People's Republic of  of Korea,Men,95,Married
23740,Czech Republic,Women,31,Married
23741,China,Women,40,Married
23742,Réunion,Men,36,Single
23743,Norway,Men,34,Married
23744,Turks and Caicos Islands,Men,21,Single
23745,Cyprus,Men,36,Married
23746,Cayman Islands,Women,68,Divorced
23747,San Marino,Men,46,Married
23748,Slovenia,Women,99,Married
23749,El Salvador,Men,29,Married
23750,Lebanon,Men,20,Single
23751,Israel,Women,83,Married
23752,Libya,Women,90,Married
23753,Antigua and Barbuda,Men,95,Single
23754,State of Palestine,Men,69,Married
23755,Saint Lucia,Men,80,Single
23756,Swaziland,Women,30,Single
23757,Saint Vincent and the Grenadines,Men,21,Single
23758,Mozambique,Men,59,Single
23759,Ecuador,Men,45,Single
23760,Belarus,Men,66,Single
23761,Tonga,Men,39,Married
23762,Kyrgyzstan,Women,76,Single
23763,Hungary,Women,17,Single
23764,Netherlands,Women,51,Divorced
23765,Lithuania,Women,46,Single
23766,Finland,Women,60,Single
23767,Bulgaria,Men,89,Married
23768,Slovakia,Men,85,Married
23769,Peru,Women,97,Single
23770,Mayotte,Men,74,Married
23771,New Zealand,Women,88,Married
23772,Latvia,Men,85,Married
23773,Saudi Arabia,Men,58,Married
23774,Estonia,Women,85,Single
23775,Denmark,Women,84,Married
23776,Singapore,Men,35,Married
23777,Cayman Islands,Men,54,Married
23778,Saint Lucia,Men,51,Single
23779,Israel,Men,77,Married
23780,Peru,Men,68,Married
23781,Italy,Men,99,Married
23782,State of Palestine,Women,82,Single
23783,Antigua and Barbuda,Men,74,Single
23784,Dominica,Women,99,Single
23785,Netherlands Antilles,Men,87,Single
23786,Malta,Men,93,Married
23787,Russian Federation,Women,65,Single
23788,Netherlands,Women,76,Married
23789,Denmark,Men,86,Single
23790,Austria,Men,68,Married
23791,Mexico,Women,27,Married
23792,Brazil,Men,46,Single
23793,Saint Vincent and the Grenadines,Men,97,Married
23794,Cuba,Men,91,Single
23795,Dominica,Women,51,Single
23796,Liechtenstein,Women,29,Single
23797,Norway,Men,66,Divorced
23798,Mozambique,Women,23,Married
23799,Kyrgyzstan,Men,79,Single
23800,El Salvador,Men,76,Married
23801,Yemen,Men,25,Married
23802,Kyrgyzstan,Women,58,Married
23803,South Sudan,Men,46,Married
23804,Oman,Women,59,Married
23805,Singapore,Women,85,Married
23806,Republic of Korea,Women,16,Single
23807,Sweden,Women,64,Single
23808,Liberia,Women,85,Married
23809,Tonga,Men,89,Single
23810,San Marino,Women,16,Single
23811,Jamaica,Men,60,Married
23812,Latvia,Men,17,Single
23813,Panama,Women,46,Single
23814,Montenegro,Men,25,Single
23815,Switzerland,Men,61,Married
23816,Sweden,Women,35,Married
23817,New Zealand,Women,67,Married
23818,Hungary,Women,61,Divorced
23819,Brunei Darussalam,Women,51,Married
23820,San Marino,Women,18,Single
23821,Morocco,Women,22,Single
23822,"China, Hong Kong SAR",Men,42,Married
23823,South Sudan,Women,32,Married
23824,Venezuela (Bolivarian Republic of),Men,70,Married
23825,Montenegro,Men,98,Married
23826,Montenegro,Men,84,Married
23827,Mexico,Women,82,Married
23828,Israel,Women,39,Married
23829,Italy,Men,21,Single
23830,Finland,Women,47,Married
23831,New Zealand,Men,20,Single
23832,Estonia,Men,28,Married
23833,Gibraltar,Men,79,Married
23834,Latvia,Men,93,Married
23835,Indonesia,Men,45,Married
23836,Albania,Women,74,Married
23837,Lebanon,Women,56,Married
23838,Kyrgyzstan,Men,22,Single
23839,Lithuania,Men,35,Married
23840,Switzerland,Men,15,Single
23841,Mayotte,Women,78,Single
23842,Brazil,Men,96,Married
23843,Sudan,Women,25,Married
23844,Spain,Men,80,Married
23845,Morocco,Men,87,Married
23846,Belgium,Women,83,Single
23847,Yemen,Men,88,Married
23848,Brazil,Women,26,Single
23849,Antigua and Barbuda,Men,90,Married
23850,Saudi Arabia,Men,76,Married
23851,Yemen,Women,43,Married
23852,Switzerland,Women,30,Married
23853,Italy,Men,77,Single
23854,Sudan,Men,20,Single
23855,Norway,Women,20,Single
23856,Saudi Arabia,Men,65,Married
23857,Slovakia,Men,90,Married
23858,Philippines,Women,50,Single
23859,Cuba,Men,77,Married
23860,Saint Lucia,Women,83,Single
23861,United Arab Emirates,Men,94,Married
23862,Canada,Men,67,Married
23863,Aruba,Men,84,Single
23864,Suriname,Women,43,Single
23865,Kuwait,Men,27,Single
23866,Oman,Men,68,Married
23867,Libya,Men,18,Single
23868,Singapore,Men,27,Married
23869,Australia,Women,92,Single
23870,Austria,Women,77,Married
23871,Saudi Arabia,Women,59,Married
23872,"China, Hong Kong SAR",Men,30,Married
23873,Switzerland,Men,78,Married
23874,Panama,Women,87,Single
23875,Malaysia,Men,68,Married
23876,Gibraltar,Men,15,Single
23877,Cyprus,Women,51,Single
23878,Bermuda,Women,16,Single
23879,Netherlands,Women,34,Married
23880,Algeria,Men,38,Married
23881,Bulgaria,Women,54,Single
23882,Saudi Arabia,Men,79,Married
23883,Saudi Arabia,Men,65,Married
23884,Belize,Men,38,Single
23885,El Salvador,Women,81,Divorced
23886,Kuwait,Men,77,Married
23887,United Kingdom,Men,19,Single
23888,Libya,Men,29,Single
23889,China,Women,21,Single
23890,Algeria,Men,35,Married
23891,Brunei Darussalam,Men,22,Married
23892,Antigua and Barbuda,Women,94,Single
23893,Austria,Men,80,Married
23894,Greece,Men,45,Married
23895,Kyrgyzstan,Men,87,Single
23896,Slovakia,Women,73,Single
23897,Aruba,Men,92,Single
23898,Slovenia,Men,18,Single
23899,Venezuela (Bolivarian Republic of),Men,68,Married
23900,Luxembourg,Men,22,Single
23901,Sudan,Men,41,Married
23902,Lesotho,Women,57,Married
23903,Antigua and Barbuda,Men,48,Single
23904,Liechtenstein,Men,22,Single
23905,Cyprus,Men,59,Married
23906,Yemen,Women,51,Married
23907,Mongolia,Women,78,Married
23908,Syrian Arab Republic,Women,83,Married
23909,Aruba,Men,51,Single
23910,Lao People's Democratic Republic,Men,86,Married
23911,Tonga,Women,67,Married
23912,Israel,Women,23,Single
23913,United Kingdom,Women,92,Married
23914,Norway,Women,41,Single
23915,Gibraltar,Men,27,Single
23916,Mozambique,Women,76,Single
23917,Cuba,Women,20,Single
23918,Netherlands Antilles,Men,51,Single
23919,Singapore,Women,66,Single
23920,Réunion,Men,89,Married
23921,"China, Hong Kong SAR",Women,43,Divorced
23922,Morocco,Women,74,Single
23923,Syrian Arab Republic,Men,71,Married
23924,Palau,Women,25,Single
23925,Saint Vincent and the Grenadines,Men,77,Single
23926,Bulgaria,Women,50,Divorced
23927,Finland,Men,63,Single
23928,Oman,Women,53,Married
23929,Djibouti,Women,41,Married
23930,State of Palestine,Women,93,Married
23931,Djibouti,Women,64,Single
23932,Algeria,Women,93,Single
23933,Australia,Men,24,Single
23934,Belgium,Men,31,Married
23935,Iran (Islamic Republic of),Men,77,Married
23936,Morocco,Men,52,Married
23937,Anguilla,Men,68,Single
23938,Democratic People's Republic of  of Korea,Women,72,Single
23939,Mayotte,Men,88,Single
23940,Azerbaijan,Men,48,Married
23941,Philippines,Men,92,Married
23942,Palau,Men,91,Married
23943,Poland,Women,50,Married
23944,Greece,Men,32,Single
23945,Austria,Women,49,Married
23946,Lithuania,Men,15,Single
23947,Saint Lucia,Men,74,Single
23948,Djibouti,Women,20,Single
23949,Indonesia,Men,80,Married
23950,Slovenia,Women,16,Single
23951,Cuba,Women,28,Single
23952,Estonia,Men,32,Single
23953,Israel,Women,72,Married
23954,Australia,Women,27,Single
23955,Brazil,Men,21,Single
23956,Syrian Arab Republic,Women,93,Married
23957,Croatia,Women,97,Single
23958,Liechtenstein,Women,82,Single
23959,Croatia,Women,39,Married
23960,Netherlands Antilles,Women,65,Single
23961,Austria,Women,49,Married
23962,Philippines,Men,28,Single
23963,New Caledonia,Men,28,Single
23964,New Caledonia,Women,70,Single
23965,Turks and Caicos Islands,Men,29,Married
23966,Lebanon,Men,99,Married
23967,United Arab Emirates,Men,23,Married
23968,Estonia,Men,28,Single
23969,El Salvador,Men,74,Married
23970,Jamaica,Women,72,Single
23971,Lao People's Democratic Republic,Men,25,Married
23972,Saint Lucia,Men,22,Single
23973,Suriname,Women,76,Single
23974,San Marino,Men,42,Married
23975,Liberia,Women,49,Single
23976,Indonesia,Women,39,Married
23977,Italy,Men,67,Married
23978,Antigua and Barbuda,Men,22,Single
23979,Lithuania,Women,75,Divorced
23980,Sweden,Women,70,Married
23981,Netherlands Antilles,Women,81,Single
23982,Romania,Men,45,Married
23983,Cyprus,Men,68,Married
23984,Djibouti,Women,27,Married
23985,Brunei Darussalam,Women,99,Married
23986,Morocco,Men,87,Married
23987,Sweden,Women,19,Single
23988,Belarus,Women,71,Single
23989,Belgium,Women,69,Single
23990,Réunion,Men,63,Married
23991,French Polynesia,Men,67,Married
23992,Ireland,Women,82,Married
23993,Cayman Islands,Women,36,Single
23994,"China, Hong Kong SAR",Men,18,Single
23995,Lebanon,Men,29,Single
23996,Slovakia,Women,76,Single
23997,Belgium,Women,49,Married
23998,Algeria,Women,19,Married
23999,South Sudan,Men,76,Married
24000,Liberia,Women,16,Single
24001,Tonga,Men,52,Married
24002,Poland,Men,26,Married
24003,China,Women,48,Married
24004,Botswana,Women,62,Single
24005,Hungary,Men,92,Married
24006,Slovenia,Men,28,Single
24007,Singapore,Women,87,Divorced
24008,Brazil,Men,17,Single
24009,Austria,Men,86,Divorced
24010,Costa Rica,Women,83,Married
24011,Netherlands Antilles,Women,46,Divorced
24012,Australia,Women,84,Divorced
24013,Cuba,Men,39,Single
24014,Finland,Women,56,Single
24015,Bermuda,Women,65,Single
24016,Romania,Women,18,Single
24017,Yemen,Men,40,Married
24018,Italy,Women,66,Married
24019,Luxembourg,Women,57,Married
24020,Mongolia,Women,15,Single
24021,Russian Federation,Women,66,Single
24022,Dominica,Men,19,Single
24023,Dominica,Men,56,Single
24024,United Kingdom,Men,24,Single
24025,Kuwait,Men,95,Married
24026,Venezuela (Bolivarian Republic of),Men,91,Single
24027,Dominica,Men,71,Married
24028,French Guiana,Men,56,Single
24029,Peru,Women,52,Married
24030,El Salvador,Men,33,Single
24031,Morocco,Men,26,Married
24032,Democratic People's Republic of  of Korea,Women,66,Single
24033,El Salvador,Men,85,Single
24034,France,Men,52,Married
24035,Aruba,Men,61,Single
24036,Bahrain,Men,58,Married
24037,El Salvador,Men,52,Single
24038,Ireland,Men,42,Married
24039,Mexico,Women,97,Single
24040,New Caledonia,Men,52,Married
24041,Tonga,Men,45,Married
24042,China,Men,97,Married
24043,Austria,Women,61,Single
24044,Greenland,Men,18,Single
24045,Finland,Men,64,Single
24046,Brazil,Women,29,Married
24047,Swaziland,Women,34,Married
24048,Singapore,Women,96,Single
24049,Panama,Men,93,Married
24050,State of Palestine,Women,59,Married
24051,"China, Hong Kong SAR",Men,51,Married
24052,Cyprus,Men,16,Single
24053,Cuba,Men,63,Single
24054,Luxembourg,Men,34,Single
24055,Costa Rica,Women,55,Single
24056,Kuwait,Men,60,Married
24057,Suriname,Women,75,Single
24058,Botswana,Women,37,Single
24059,Malta,Men,57,Married
24060,Argentina,Men,25,Single
24061,Dominica,Women,82,Single
24062,Greenland,Men,38,Married
24063,Slovakia,Men,26,Single
24064,Thailand,Men,35,Married
24065,United Kingdom,Men,41,Divorced
24066,Lithuania,Women,49,Married
24067,Aruba,Women,73,Single
24068,Mozambique,Women,31,Divorced
24069,Austria,Women,29,Single
24070,Mongolia,Women,55,Married
24071,Liechtenstein,Women,95,Single
24072,Saudi Arabia,Women,65,Single
24073,Antigua and Barbuda,Women,42,Married
24074,Singapore,Men,29,Single
24075,French Polynesia,Women,68,Married
24076,Lithuania,Men,97,Married
24077,Republic of Korea,Women,45,Married
24078,Italy,Men,89,Married
24079,Italy,Men,31,Single
24080,Italy,Men,67,Single
24081,Netherlands,Women,45,Married
24082,Kuwait,Women,80,Married
24083,New Caledonia,Women,73,Single
24084,Sudan,Women,43,Married
24085,Belize,Men,53,Single
24086,Saint Vincent and the Grenadines,Men,76,Single
24087,"China, Hong Kong SAR",Men,75,Married
24088,Netherlands Antilles,Men,91,Single
24089,Italy,Men,81,Married
24090,Costa Rica,Women,50,Single
24091,Cuba,Women,44,Single
24092,Libya,Men,15,Single
24093,Ireland,Men,85,Single
24094,Ireland,Women,87,Single
24095,Spain,Women,43,Married
24096,Cyprus,Women,27,Single
24097,Suriname,Women,45,Married
24098,Democratic People's Republic of  of Korea,Women,61,Single
24099,Slovakia,Women,67,Single
24100,Malta,Men,21,Single
24101,Libya,Men,35,Married
24102,French Guiana,Men,52,Married
24103,Austria,Women,38,Married
24104,Lesotho,Women,27,Single
24105,Lebanon,Men,72,Single
24106,Slovenia,Women,89,Single
24107,Cyprus,Women,75,Married
